measure,angle_deg,angle_rad,P_pp,quantum_P_pp,deviation
quantum,0,0.000000,0.000000,0.000000,0.000000
quantum,30,0.523599,0.083920,0.033494,0.050426
quantum,45,0.785398,0.125540,0.073223,0.052317
quantum,60,1.047198,0.168140,0.125000,0.043140
quantum,90,1.570796,0.252340,0.250000,0.002340
quantum,120,2.094395,0.333040,0.375000,-0.041960
quantum,135,2.356194,0.374860,0.426777,-0.051917
quantum,150,2.617994,0.415200,0.466506,-0.051306
quantum,180,3.141593,0.500860,0.500000,0.000860
peaked,0,0.000000,0.000000,0.000000,0.000000
peaked,30,0.523599,0.001940,0.033494,-0.031554
peaked,45,0.785398,0.011720,0.073223,-0.061503
peaked,60,1.047198,0.045000,0.125000,-0.080000
peaked,90,1.570796,0.249240,0.250000,-0.000760
peaked,120,2.094395,0.451800,0.375000,0.076800
peaked,135,2.356194,0.489340,0.426777,0.062563
peaked,150,2.617994,0.498460,0.466506,0.031954
peaked,180,3.141593,0.499820,0.500000,-0.000180
bimodal,0,0.000000,0.000000,0.000000,0.000000
bimodal,30,0.523599,0.000000,0.033494,-0.033494
bimodal,45,0.785398,0.000000,0.073223,-0.073223
bimodal,60,1.047198,0.000000,0.125000,-0.125000
bimodal,90,1.570796,0.502140,0.250000,0.252140
bimodal,120,2.094395,0.502540,0.375000,0.127540
bimodal,135,2.356194,0.498340,0.426777,0.071563
bimodal,150,2.617994,0.499260,0.466506,0.032754
bimodal,180,3.141593,0.499040,0.500000,-0.000960
